time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
1.560000000000001,-2.6869753269996925,0.32905680868462883,0.0,4.483897620569756,4.751443842952199,0.0,-2.0553377142423632,-0.6786110606622356,-14.430673415943781,-15.364830431379762,7.792438565787275,0.0,326.01232381882,379.7971661157495,548.0744762703348,162.5908177492828,1,78.0
1.560000000000001,-2.6652369700525287,0.36108276379275794,0.0,4.512113654694529,4.722999777701187,0.0,-2.0772226240199023,-0.6375507575578095,-14.43439458798226,-15.346917130161609,7.6763381803112845,0.0,326.6316603641733,377.22013969144206,547.0999397282044,162.349792413161,2,78.0
1.560000000000001,-2.916217798980345,0.41972773708246297,0.0,0.41448580552199665,4.119537290735835,0.0,-2.8631165949641395,-0.4884534518502761,-13.655735313878544,-24.48437012532067,5.31992066699526,0.0,593.2224100592728,565.199112224545,737.1225983103262,47.83083051261064,3,78.0
1.740000000000001,-10.034156202262285,-1.280098026961617,0.0,1.6325875747824314,4.60681659113445,0.0,-3.128108418190098,0.32527021204039486,-13.114702408918221,-28.833898256395393,11.895291707410403,0.0,722.5148217928438,896.4572826791992,899.9409129763171,-0.011484126417443147,4,87.0
1.1400000000000006,0.3646567046108767,0.3681368457038271,0.0,1.429071376472126,2.0708820215951995,0.0,0.3706867682478273,-0.48217371394631137,-18.9540800852156,-28.758009889216517,26.00426255833715,0.0,54.33548777327734,789.3385375004473,897.0152643650734,4.225656305828089,5,57.0
1.3200000000000007,0.5915564625602326,-3.9776780273125407,0.0,2.5110314256474453,1.1271773950535717,0.0,1.0566222423713316,-7.2688562715582865,-18.518427128140704,-28.78688443750411,26.00661277376691,0.0,4.917771419556127,821.7306852037656,899.5048236596007,3.0162509044260166,6,66.0
1.2600000000000007,1.0373774449593418,3.661102717328699,0.0,4.627542770653161,3.874808389833717,0.0,0.6928407408483357,4.726031730898016,-18.641268684194102,-27.821064552214075,17.53715244713767,0.0,35.32708360136389,578.8153909968976,897.4867301739052,198.7026129074137,7,63.0
1.680000000000001,2.518947592406449,1.054675745820993,0.0,1.2472200009947008,2.422387106575691,0.0,1.2888217984374504,0.5984906213894201,-13.19873282357441,-0.08047534313641908,24.840722254029373,0.0,35.92895502978591,763.8185548979462,825.750597001376,888.8619966458155,8,84.0
1.740000000000001,-0.5172248788802133,0.0004049805537157755,0.0,0.4364685852362955,2.028532154750131,0.0,-0.41661231239970054,0.3335814824305754,-13.212703990708176,1.369947078087678,28.596339208160316,0.0,17.006876925548006,894.1826437559886,881.4185209599133,900.1304146361866,9,87.0
1.740000000000001,-1.7526112473557909,0.005569186208091977,0.0,0.09326224473088196,2.5819728412353165,0.0,-1.7220554427214998,0.03742482930384035,-13.631138029786264,0.59863851933969,27.16222426805453,0.0,314.3218843869072,885.9514063664797,883.6571866355692,899.5837320575566,10,87.0
1.680000000000001,-2.5855780613376096,-0.5074414760750827,0.0,0.22708637329912396,4.364511766578939,0.0,0.3145630945370065,-2.203109247462733,-25.32894938465855,0.31630364533015914,2.78055659043333,0.0,898.4639634923499,896.9845079459261,898.0304861261401,899.2605049188983,11,84.0
5.0399999999999805,-15.546928417100093,-46.93481393250237,125.90346090357843,5.043084329769034,1.1673457432398893,0.0,-19.937122212127534,-21.695427122818263,14.079077958849489,-0.4299021844307839,0.40166382629020214,0.0,900.3307915991086,900.0105952310232,900.0182682495891,899.0203808897589,12,252.0
5.0399999999999805,39.49817814844507,-39.72212460406769,135.28779042455218,5.186874566201352,4.8439210894115625,0.0,22.128240227513714,-32.510801310068274,25.17433216083443,-0.19632911688811544,-0.37855301021971016,0.0,900.3151766399988,900.0884080816728,900.0510652084038,899.9557148181028,13,252.0
5.0399999999999805,-22.21307075323511,8.306781047586579,136.00979980029396,6.045607258084722,0.20508181062556297,0.0,-11.865563210014626,0.6675818665217842,26.77982856336026,-0.1609637396990109,-0.19326749621455025,0.0,900.2153041485934,900.0397410145366,900.1252414832603,900.7611594919555,14,252.0
